GRID*,X,Y,Z
338,3.431708487E-2,-2.462948580E-2,5.775933376E-2
339,-1.025207389E-4,-1.562629782E-3,9.843401075E-2
340,1.609294397E-2,-2.284790063E-2,7.205345444E-2
341,2.220934864E-2,-3.052313130E-2,6.225193103E-2
342,9.453186065E-3,-3.152190882E-2,6.709113398E-2
343,9.864351930E-3,-5.149863238E-2,4.756513969E-2
344,4.254236214E-2,-3.120540433E-2,4.723988404E-2
345,-3.117586406E-2,-2.635702683E-2,5.917565233E-2
346,-3.231482360E-2,-4.070841687E-2,4.802478448E-2
347,-1.680893787E-2,-3.815551798E-2,5.830606825E-2
348,4.836249256E-3,1.713396880E-2,8.219656792E-2
349,-3.618737911E-4,1.942963104E-3,9.802362497E-2
350,-4.014745353E-4,5.731913374E-3,9.425404379E-2
351,-1.236195680E-3,2.809853438E-2,7.187428554E-2
352,-1.013214323E-3,2.085404050E-2,7.912135999E-2
353,-2.787875227E-2,4.423339925E-2,4.771407037E-2
354,-1.539882501E-3,3.809425411E-2,6.187463529E-2
355,4.586086738E-3,-6.758512370E-3,9.183240054E-2
356,1.187501627E-2,-1.716709410E-2,7.912596993E-2
357,-1.368977963E-3,5.961985077E-4,9.850683111E-2
358,-9.730798019E-4,1.156446302E-3,9.848862568E-2
359,-5.038911141E-2,1.372774429E-2,4.777439792E-2
360,-6.048449851E-4,-4.551177065E-3,9.540880733E-2
361,-1.604423518E-3,-3.300624361E-3,9.633008229E-2
362,-3.665276067E-4,-3.107522573E-3,9.687093640E-2
363,-1.652520786E-3,-4.344921303E-4,9.829131385E-2
364,3.782809703E-4,-2.281366216E-3,9.768748442E-2
365,1.774265942E-3,-6.781460322E-3,9.299027649E-2
366,-3.556149256E-2,1.835651272E-2,5.998023847E-2
367,-4.040796674E-2,3.177114922E-3,5.946732385E-2
368,-8.002489260E-4,1.547666846E-2,8.450265620E-2
369,-4.137458287E-2,3.065284747E-2,4.850773684E-2
370,-5.613007375E-4,1.132368872E-2,8.866240834E-2
371,-4.907895863E-3,1.232645158E-2,8.673241354E-2
372,-6.668455512E-3,1.681386786E-2,8.191203573E-2
373,-3.514035670E-3,8.939563164E-3,9.039457256E-2
374,-3.960910228E-4,8.154137904E-3,9.183624761E-2
375,-2.540553942E-3,6.301390568E-3,9.320574232E-2
376,-6.112635612E-4,-1.206715970E-3,9.864729657E-2
377,-1.327260641E-3,-1.125641937E-3,9.825968664E-2
378,-3.416415175E-4,-4.084493960E-2,5.915363162E-2
379,1.384104716E-2,-4.052081952E-2,5.718047874E-2
380,6.700882746E-4,-3.621259168E-3,9.631726511E-2
381,6.394345065E-3,-2.407806657E-2,7.508733378E-2
382,3.519496841E-3,-1.299461073E-2,8.653720809E-2
383,1.183794583E-3,-4.946907224E-3,9.491342348E-2
384,2.583475263E-3,-9.514325617E-3,9.014115948E-2
385,-2.120200335E-3,1.416432875E-4,9.787507358E-2
386,-1.212934690E-2,3.030173251E-2,6.736082033E-2
387,-1.534795492E-2,3.895876649E-2,5.812703489E-2
388,-2.667796366E-2,3.013388525E-2,5.975369849E-2
389,-1.123773961E-3,1.956681767E-3,9.774357108E-2
390,-7.355127096E-4,-2.155014616E-3,9.772292579E-2
391,-9.345397373E-3,2.283407396E-2,7.532751764E-2
392,-1.828583484E-3,4.100514952E-3,9.551024049E-2
393,-1.882166520E-3,1.206462073E-3,9.776435657E-2
394,4.810751581E-3,-1.753951937E-2,8.181269480E-2
395,-7.136414571E-4,-1.165121375E-2,8.832695130E-2
396,-2.126521834E-2,2.164351627E-2,6.965776364E-2
397,-1.418454141E-2,1.639318752E-2,7.832195092E-2
398,-1.025261490E-2,1.182041938E-2,8.435268628E-2
399,-1.656317553E-2,9.132097171E-3,8.108614311E-2
400,-5.151191190E-4,-8.503370692E-3,9.148104109E-2
401,-5.335517717E-4,-6.198804226E-3,9.377827586E-2
402,-3.479143322E-3,-3.089426401E-2,6.891045213E-2
403,-1.170971713E-3,-2.193481956E-2,7.803394701E-2
